file,onset,offset,class
fold3_room4_mix004.wav,132.2,132.8,4
fold3_room4_mix004.wav,63.0,65.7,7
fold3_room4_mix004.wav,49.4,58.4,10
fold3_room4_mix005.wav,31.4,51.4,5
fold3_room4_mix005.wav,12.9,15.9,6
fold3_room4_mix005.wav,60.4,62.9,6
fold3_room4_mix005.wav,77.9,81.9,6
fold3_room4_mix005.wav,99.9,102.9,6
fold3_room4_mix005.wav,19.9,20.9,7
fold3_room4_mix005.wav,85.9,87.9,7
fold3_room4_mix006.wav,5.4,11.4,1
fold3_room4_mix006.wav,12.4,14.9,1
fold3_room4_mix006.wav,15.4,36.4,1
fold3_room4_mix006.wav,37.9,56.4,1
fold3_room4_mix006.wav,57.4,67.4,1
fold3_room4_mix006.wav,67.9,75.9,1
fold3_room4_mix006.wav,76.9,88.4,1
fold3_room4_mix006.wav,88.9,97.4,1
fold3_room4_mix006.wav,98.9,99.9,1
fold3_room4_mix006.wav,101.4,109.4,1
fold3_room4_mix006.wav,109.9,110.4,1
fold3_room4_mix006.wav,127.9,130.9,1
fold3_room4_mix006.wav,131.9,143.9,1
fold3_room4_mix006.wav,144.4,148.9,1
fold3_room4_mix006.wav,150.4,154.9,1
fold3_room4_mix006.wav,156.4,161.9,1
fold3_room4_mix006.wav,162.4,170.4,1
fold3_room4_mix006.wav,171.4,176.4,1
fold3_room4_mix006.wav,79.4,79.9,4
fold3_room4_mix006.wav,92.4,93.4,4
fold3_room4_mix006.wav,107.4,128.9,5
fold3_room4_mix007.wav,5.9,8.4,1
fold3_room4_mix007.wav,10.4,14.9,1
fold3_room4_mix007.wav,16.9,21.9,1
fold3_room4_mix007.wav,22.9,31.4,1
fold3_room4_mix007.wav,32.9,34.9,1
fold3_room4_mix007.wav,37.4,40.9,1
fold3_room4_mix007.wav,41.9,47.9,1
fold3_room4_mix007.wav,48.9,50.4,1
fold3_room4_mix007.wav,50.9,52.9,1
fold3_room4_mix007.wav,53.9,58.4,1
fold3_room4_mix007.wav,58.9,63.9,1
fold3_room4_mix007.wav,65.4,71.9,1
fold3_room4_mix007.wav,73.4,84.9,1
fold3_room4_mix007.wav,86.4,87.9,1
fold3_room4_mix007.wav,88.4,93.9,1
fold3_room4_mix007.wav,94.9,98.9,1
fold3_room4_mix007.wav,104.9,108.4,1
fold3_room4_mix007.wav,108.9,109.9,1
fold3_room4_mix007.wav,111.4,112.4,1
fold3_room4_mix007.wav,113.4,115.9,1
fold3_room4_mix007.wav,116.4,116.9,1
fold3_room4_mix007.wav,117.4,118.4,1
fold3_room4_mix007.wav,118.9,133.9,1
fold3_room4_mix007.wav,134.4,138.4,1
fold3_room4_mix007.wav,138.9,153.4,1
fold3_room4_mix007.wav,154.4,159.9,1
fold3_room4_mix007.wav,161.4,163.9,1
fold3_room4_mix007.wav,165.4,176.9,1
fold3_room4_mix007.wav,177.9,204.4,1
fold3_room4_mix007.wav,205.4,213.4,1
fold3_room4_mix007.wav,214.4,221.9,1
fold3_room4_mix007.wav,63.9,65.4,4
fold3_room4_mix007.wav,133.9,134.4,4
fold3_room4_mix007.wav,180.9,181.9,4
fold3_room4_mix007.wav,99.9,104.9,10
fold3_room4_mix008.wav,45.9,48.9,1
fold3_room4_mix008.wav,49.9,51.4,1
fold3_room4_mix008.wav,51.9,53.4,1
fold3_room4_mix008.wav,54.9,57.9,1
fold3_room4_mix008.wav,58.4,63.4,1
fold3_room4_mix008.wav,63.9,72.4,1
fold3_room4_mix008.wav,73.4,81.4,1
fold3_room4_mix008.wav,82.9,89.4,1
fold3_room4_mix008.wav,90.4,96.9,1
fold3_room4_mix008.wav,97.9,107.9,1
fold3_room4_mix008.wav,108.9,115.4,1
fold3_room4_mix008.wav,116.4,121.9,1
fold3_room4_mix008.wav,122.9,129.4,1
fold3_room4_mix008.wav,129.9,138.4,1
fold3_room4_mix008.wav,139.4,146.9,1
fold3_room4_mix008.wav,147.4,150.9,1
fold3_room4_mix008.wav,151.4,161.4,1
fold3_room4_mix008.wav,30.4,35.9,3
fold3_room4_mix008.wav,36.4,39.9,3
fold3_room4_mix008.wav,11.4,16.4,6
fold3_room4_mix008.wav,31.4,35.9,6
fold3_room4_mix008.wav,17.4,18.9,7
fold3_room4_mix008.wav,22.9,27.4,10
fold3_room4_mix008.wav,118.9,129.4,10
fold3_room6_mix001.wav,0.4,4.9,0
fold3_room6_mix001.wav,13.4,18.9,0
fold3_room6_mix001.wav,20.9,22.4,0
fold3_room6_mix001.wav,22.9,24.4,0
fold3_room6_mix001.wav,25.9,28.4,0
fold3_room6_mix001.wav,40.4,59.4,0
fold3_room6_mix001.wav,61.9,62.4,0
fold3_room6_mix001.wav,93.9,95.4,0
fold3_room6_mix001.wav,100.4,102.9,0
fold3_room6_mix001.wav,126.4,128.9,0
fold3_room6_mix001.wav,131.4,134.9,0
fold3_room6_mix001.wav,139.4,139.9,0
fold3_room6_mix001.wav,140.4,143.9,0
fold3_room6_mix001.wav,144.4,148.4,0
fold3_room6_mix001.wav,150.9,152.9,0
fold3_room6_mix001.wav,154.4,156.4,0
fold3_room6_mix001.wav,158.4,159.9,0
fold3_room6_mix001.wav,188.9,201.9,0
fold3_room6_mix001.wav,203.4,204.9,0
fold3_room6_mix001.wav,207.4,208.9,0
fold3_room6_mix001.wav,210.4,212.4,0
fold3_room6_mix001.wav,213.9,214.4,0
fold3_room6_mix001.wav,4.9,13.4,1
fold3_room6_mix001.wav,18.4,20.9,1
fold3_room6_mix001.wav,21.9,22.9,1
fold3_room6_mix001.wav,24.4,26.4,1
fold3_room6_mix001.wav,28.9,33.9,1
fold3_room6_mix001.wav,34.9,40.4,1
fold3_room6_mix001.wav,49.4,50.9,1
fold3_room6_mix001.wav,53.4,54.4,1
fold3_room6_mix001.wav,55.4,56.4,1
fold3_room6_mix001.wav,58.4,61.9,1
fold3_room6_mix001.wav,91.9,93.9,1
fold3_room6_mix001.wav,95.4,98.4,1
fold3_room6_mix001.wav,98.9,101.9,1
fold3_room6_mix001.wav,128.9,130.4,1
fold3_room6_mix001.wav,131.4,131.9,1
fold3_room6_mix001.wav,135.4,140.4,1
fold3_room6_mix001.wav,145.4,146.9,1
fold3_room6_mix001.wav,148.4,154.9,1
fold3_room6_mix001.wav,156.4,157.9,1
fold3_room6_mix001.wav,190.4,191.9,1
fold3_room6_mix001.wav,195.9,197.9,1
fold3_room6_mix001.wav,198.9,210.4,1
fold3_room6_mix001.wav,211.9,214.9,1
fold3_room6_mix001.wav,53.4,54.4,2
fold3_room6_mix001.wav,214.4,216.9,2
fold3_room6_mix001.wav,36.9,37.9,4
fold3_room6_mix001.wav,95.4,96.4,4
fold3_room6_mix001.wav,61.9,65.4,9
fold3_room6_mix001.wav,65.9,90.9,9
fold3_room6_mix001.wav,106.9,124.4,9
fold3_room6_mix001.wav,160.4,188.4,9
fold3_room6_mix002.wav,0.4,0.9,0
fold3_room6_mix002.wav,2.4,9.9,0
fold3_room6_mix002.wav,15.4,16.9,0
fold3_room6_mix002.wav,43.4,46.4,0
fold3_room6_mix002.wav,47.9,49.9,0
fold3_room6_mix002.wav,52.9,63.4,0
fold3_room6_mix002.wav,69.4,70.4,0
fold3_room6_mix002.wav,75.4,76.4,0
fold3_room6_mix002.wav,118.9,122.4,0
fold3_room6_mix002.wav,127.9,128.9,0
fold3_room6_mix002.wav,132.9,133.9,0
fold3_room6_mix002.wav,134.9,135.9,0
fold3_room6_mix002.wav,140.9,142.9,0
fold3_room6_mix002.wav,145.4,151.4,0
fold3_room6_mix002.wav,190.9,191.9,0
fold3_room6_mix002.wav,196.4,197.9,0
fold3_room6_mix002.wav,199.4,200.9,0
fold3_room6_mix002.wav,201.9,206.9,0
fold3_room6_mix002.wav,209.9,210.9,0
fold3_room6_mix002.wav,246.4,247.4,0
fold3_room6_mix002.wav,248.4,251.4,0
fold3_room6_mix002.wav,252.9,254.9,0
fold3_room6_mix002.wav,0.9,1.9,1
fold3_room6_mix002.wav,9.9,15.9,1
fold3_room6_mix002.wav,16.9,24.9,1
fold3_room6_mix002.wav,25.4,33.9,1
fold3_room6_mix002.wav,34.9,42.4,1
fold3_room6_mix002.wav,45.9,47.9,1
fold3_room6_mix002.wav,49.4,52.9,1
fold3_room6_mix002.wav,59.9,61.9,1
fold3_room6_mix002.wav,62.9,64.4,1
fold3_room6_mix002.wav,64.9,69.4,1
fold3_room6_mix002.wav,70.9,75.4,1
fold3_room6_mix002.wav,117.9,118.9,1
fold3_room6_mix002.wav,124.4,134.4,1
fold3_room6_mix002.wav,135.9,144.9,1
fold3_room6_mix002.wav,149.4,150.9,1
fold3_room6_mix002.wav,190.9,196.4,1
fold3_room6_mix002.wav,196.9,201.9,1
fold3_room6_mix002.wav,202.9,209.9,1
fold3_room6_mix002.wav,245.4,246.4,1
fold3_room6_mix002.wav,247.9,252.4,1
fold3_room6_mix002.wav,254.4,254.9,1
fold3_room6_mix002.wav,191.9,192.9,2
fold3_room6_mix002.wav,125.4,126.4,4
fold3_room6_mix002.wav,191.9,193.9,4
fold3_room6_mix002.wav,247.4,248.4,4
fold3_room6_mix002.wav,151.4,153.4,6
fold3_room6_mix002.wav,156.4,159.9,6
fold3_room6_mix002.wav,76.9,116.9,9
fold3_room6_mix002.wav,164.9,190.4,9
fold3_room6_mix002.wav,210.9,245.4,9
fold3_room6_mix003.wav,5.9,12.4,0
fold3_room6_mix003.wav,16.4,17.4,0
fold3_room6_mix003.wav,19.4,21.4,0
fold3_room6_mix003.wav,29.4,33.9,0
fold3_room6_mix003.wav,34.9,37.4,0
fold3_room6_mix003.wav,39.9,45.4,0
fold3_room6_mix003.wav,45.9,48.4,0
fold3_room6_mix003.wav,50.4,54.9,0
fold3_room6_mix003.wav,62.9,65.4,0
fold3_room6_mix003.wav,69.4,70.9,0
fold3_room6_mix003.wav,73.4,73.9,0
fold3_room6_mix003.wav,77.4,78.9,0
fold3_room6_mix003.wav,79.9,87.4,0
fold3_room6_mix003.wav,88.4,89.9,0
fold3_room6_mix003.wav,91.4,92.9,0
fold3_room6_mix003.wav,93.4,103.4,0
fold3_room6_mix003.wav,107.4,111.4,0
fold3_room6_mix003.wav,113.9,117.4,0
fold3_room6_mix003.wav,132.9,140.4,0
fold3_room6_mix003.wav,167.4,172.9,0
fold3_room6_mix003.wav,183.4,184.4,0
fold3_room6_mix003.wav,188.4,193.9,0
fold3_room6_mix003.wav,209.9,216.4,0
fold3_room6_mix003.wav,219.9,223.9,0
fold3_room6_mix003.wav,224.9,225.9,0
fold3_room6_mix003.wav,227.4,228.9,0
fold3_room6_mix003.wav,230.4,233.9,0
fold3_room6_mix003.wav,237.4,239.9,0
fold3_room6_mix003.wav,240.9,253.9,0
fold3_room6_mix003.wav,254.9,255.4,0
fold3_room6_mix003.wav,256.9,257.4,0
fold3_room6_mix003.wav,260.9,262.4,0
fold3_room6_mix003.wav,263.4,264.4,0
fold3_room6_mix003.wav,264.9,265.4,0
fold3_room6_mix003.wav,265.9,267.4,0
fold3_room6_mix003.wav,268.4,270.4,0
fold3_room6_mix003.wav,271.4,272.9,0
fold3_room6_mix003.wav,273.4,276.4,0
fold3_room6_mix003.wav,276.9,277.4,0
fold3_room6_mix003.wav,278.4,278.9,0
fold3_room6_mix003.wav,279.9,280.9,0
fold3_room6_mix003.wav,281.9,285.4,0
fold3_room6_mix003.wav,287.9,292.9,0
fold3_room6_mix003.wav,294.9,296.4,0
fold3_room6_mix003.wav,301.9,302.9,0
fold3_room6_mix003.wav,304.9,307.4,0
fold3_room6_mix003.wav,2.9,5.4,1
fold3_room6_mix003.wav,11.9,16.4,1
fold3_room6_mix003.wav,17.9,19.4,1
fold3_room6_mix003.wav,21.4,22.9,1
fold3_room6_mix003.wav,24.9,28.9,1
fold3_room6_mix003.wav,33.4,34.9,1
fold3_room6_mix003.wav,37.4,40.4,1
fold3_room6_mix003.wav,45.4,46.9,1
fold3_room6_mix003.wav,47.9,50.4,1
fold3_room6_mix003.wav,55.4,57.4,1
fold3_room6_mix003.wav,60.4,66.9,1
fold3_room6_mix003.wav,68.4,69.4,1
fold3_room6_mix003.wav,71.4,73.4,1
fold3_room6_mix003.wav,73.9,74.4,1
fold3_room6_mix003.wav,75.4,77.4,1
fold3_room6_mix003.wav,78.9,81.4,1
fold3_room6_mix003.wav,87.9,91.4,1
fold3_room6_mix003.wav,92.9,93.4,1
fold3_room6_mix003.wav,101.4,102.4,1
fold3_room6_mix003.wav,103.4,106.9,1
fold3_room6_mix003.wav,117.9,123.4,1
fold3_room6_mix003.wav,124.4,132.9,1
fold3_room6_mix003.wav,140.9,167.4,1
fold3_room6_mix003.wav,171.9,175.4,1
fold3_room6_mix003.wav,177.4,183.4,1
fold3_room6_mix003.wav,184.4,186.4,1
fold3_room6_mix003.wav,194.4,195.4,1
fold3_room6_mix003.wav,196.4,196.9,1
fold3_room6_mix003.wav,197.9,200.4,1
fold3_room6_mix003.wav,202.4,202.9,1
fold3_room6_mix003.wav,203.9,211.4,1
fold3_room6_mix003.wav,214.9,215.4,1
fold3_room6_mix003.wav,216.9,219.9,1
fold3_room6_mix003.wav,232.9,234.9,1
fold3_room6_mix003.wav,289.4,290.4,1
fold3_room6_mix003.wav,292.9,294.4,1
fold3_room6_mix003.wav,296.4,307.9,1
fold3_room6_mix003.wav,225.9,227.9,3
fold3_room6_mix003.wav,229.9,231.9,3
fold3_room6_mix003.wav,234.4,236.9,3
fold3_room6_mix003.wav,37.4,38.4,4
fold3_room6_mix003.wav,89.9,91.4,4
fold3_room6_mix003.wav,237.9,238.9,6
fold3_room6_mix003.wav,257.9,259.9,6
fold3_room6_mix003.wav,307.9,311.4,6
fold3_room6_mix003.wav,311.9,314.9,7
fold3_room6_mix003.wav,316.9,318.4,7
fold3_room6_mix004.wav,4.9,6.4,0
fold3_room6_mix004.wav,10.9,26.9,0
fold3_room6_mix004.wav,27.9,29.4,0
fold3_room6_mix004.wav,43.9,44.9,0
fold3_room6_mix004.wav,49.4,53.9,0
fold3_room6_mix004.wav,54.9,55.4,0
fold3_room6_mix004.wav,58.9,59.4,0
fold3_room6_mix004.wav,60.9,61.9,0
fold3_room6_mix004.wav,62.9,63.4,0
fold3_room6_mix004.wav,63.9,64.9,0
fold3_room6_mix004.wav,65.4,66.4,0
fold3_room6_mix004.wav,71.4,72.4,0
fold3_room6_mix004.wav,77.9,82.4,0
fold3_room6_mix004.wav,85.9,86.9,0
fold3_room6_mix004.wav,90.4,91.9,0
fold3_room6_mix004.wav,92.9,110.9,0
fold3_room6_mix004.wav,114.9,115.4,0
fold3_room6_mix004.wav,123.4,123.9,0
fold3_room6_mix004.wav,134.4,134.9,0
fold3_room6_mix004.wav,136.9,140.9,0
fold3_room6_mix004.wav,141.4,154.4,0
fold3_room6_mix004.wav,164.4,164.9,0
fold3_room6_mix004.wav,172.9,173.9,0
fold3_room6_mix004.wav,175.9,180.4,0
fold3_room6_mix004.wav,181.4,183.4,0
fold3_room6_mix004.wav,192.4,193.4,0
fold3_room6_mix004.wav,194.9,195.9,0
fold3_room6_mix004.wav,196.9,202.4,0
fold3_room6_mix004.wav,203.4,211.9,0
fold3_room6_mix004.wav,216.9,217.4,0
fold3_room6_mix004.wav,222.4,228.9,0
fold3_room6_mix004.wav,233.4,236.9,0
fold3_room6_mix004.wav,240.9,241.4,0
fold3_room6_mix004.wav,244.9,246.4,0
fold3_room6_mix004.wav,271.9,277.4,0
fold3_room6_mix004.wav,279.4,281.9,0
fold3_room6_mix004.wav,6.9,10.4,1
fold3_room6_mix004.wav,29.9,45.9,1
fold3_room6_mix004.wav,46.4,49.4,1
fold3_room6_mix004.wav,53.9,62.4,1
fold3_room6_mix004.wav,63.4,63.9,1
fold3_room6_mix004.wav,64.9,65.4,1
fold3_room6_mix004.wav,67.4,71.4,1
fold3_room6_mix004.wav,71.9,77.4,1
fold3_room6_mix004.wav,80.9,90.4,1
fold3_room6_mix004.wav,97.4,99.4,1
fold3_room6_mix004.wav,104.9,105.4,1
fold3_room6_mix004.wav,111.9,136.4,1
fold3_room6_mix004.wav,139.9,141.9,1
fold3_room6_mix004.wav,148.9,149.9,1
fold3_room6_mix004.wav,154.4,155.9,1
fold3_room6_mix004.wav,156.4,165.9,1
fold3_room6_mix004.wav,166.4,170.9,1
fold3_room6_mix004.wav,183.4,192.4,1
fold3_room6_mix004.wav,192.9,195.9,1
fold3_room6_mix004.wav,211.9,217.9,1
fold3_room6_mix004.wav,218.9,221.9,1
fold3_room6_mix004.wav,228.4,233.4,1
fold3_room6_mix004.wav,235.9,237.9,1
fold3_room6_mix004.wav,242.9,244.9,1
fold3_room6_mix004.wav,249.4,251.9,1
fold3_room6_mix004.wav,253.4,258.9,1
fold3_room6_mix004.wav,259.9,262.4,1
fold3_room6_mix004.wav,265.4,271.9,1
fold3_room6_mix004.wav,275.4,276.9,1
fold3_room6_mix004.wav,277.9,279.4,1
fold3_room6_mix004.wav,281.9,284.4,1
fold3_room6_mix004.wav,286.4,286.9,1
fold3_room6_mix004.wav,241.4,248.9,3
fold3_room6_mix004.wav,250.9,255.4,6
fold3_room6_mix004.wav,258.4,258.9,6
fold3_room6_mix005.wav,18.9,23.9,0
fold3_room6_mix005.wav,32.4,33.4,0
fold3_room6_mix005.wav,35.4,47.4,0
fold3_room6_mix005.wav,51.4,65.9,0
fold3_room6_mix005.wav,72.4,76.4,0
fold3_room6_mix005.wav,79.9,83.4,0
fold3_room6_mix005.wav,85.9,89.9,0
fold3_room6_mix005.wav,153.4,156.4,0
fold3_room6_mix005.wav,208.9,209.4,0
fold3_room6_mix005.wav,210.4,212.4,0
fold3_room6_mix005.wav,267.9,268.9,0
fold3_room6_mix005.wav,6.4,18.9,1
fold3_room6_mix005.wav,24.4,35.4,1
fold3_room6_mix005.wav,47.4,50.9,1
fold3_room6_mix005.wav,65.4,73.9,1
fold3_room6_mix005.wav,76.4,78.9,1
fold3_room6_mix005.wav,82.9,86.9,1
fold3_room6_mix005.wav,154.9,165.9,1
fold3_room6_mix005.wav,212.4,213.9,1
fold3_room6_mix005.wav,261.9,262.9,1
fold3_room6_mix005.wav,265.4,267.9,1
fold3_room6_mix005.wav,267.9,270.4,2
fold3_room6_mix005.wav,156.9,157.9,4
fold3_room6_mix005.wav,89.9,151.9,9
fold3_room6_mix005.wav,167.4,207.9,9
fold3_room6_mix005.wav,213.9,264.4,9
fold3_room6_mix006.wav,6.4,10.4,0
fold3_room6_mix006.wav,19.4,20.4,0
fold3_room6_mix006.wav,22.9,25.4,0
fold3_room6_mix006.wav,26.9,27.9,0
fold3_room6_mix006.wav,29.4,34.4,0
fold3_room6_mix006.wav,37.4,38.4,0
fold3_room6_mix006.wav,44.9,52.4,0
fold3_room6_mix006.wav,53.9,56.9,0
fold3_room6_mix006.wav,64.4,65.4,0
fold3_room6_mix006.wav,66.9,67.9,0
fold3_room6_mix006.wav,71.4,72.4,0
fold3_room6_mix006.wav,78.9,79.4,0
fold3_room6_mix006.wav,84.4,85.4,0
fold3_room6_mix006.wav,86.4,87.4,0
fold3_room6_mix006.wav,3.9,8.4,1
fold3_room6_mix006.wav,9.9,18.9,1
fold3_room6_mix006.wav,19.9,22.4,1
fold3_room6_mix006.wav,23.9,29.4,1
fold3_room6_mix006.wav,36.4,40.4,1
fold3_room6_mix006.wav,41.4,43.9,1
fold3_room6_mix006.wav,57.9,66.4,1
fold3_room6_mix006.wav,67.4,78.9,1
fold3_room6_mix006.wav,79.9,86.4,1
fold3_room6_mix006.wav,87.4,87.9,1
fold3_room6_mix006.wav,7.4,11.9,6
fold3_room6_mix006.wav,17.9,19.9,6
fold3_room6_mix006.wav,49.9,53.9,6
fold3_room6_mix006.wav,87.4,90.9,6
fold3_room6_mix006.wav,89.9,92.4,7
fold3_room6_mix006.wav,95.9,97.4,7
fold3_room6_mix007.wav,6.4,6.9,1
fold3_room6_mix007.wav,9.4,9.9,1
fold3_room6_mix007.wav,11.4,13.4,1
fold3_room6_mix007.wav,17.4,18.9,1
fold3_room6_mix007.wav,22.9,23.9,1
fold3_room6_mix007.wav,28.4,29.9,1
fold3_room6_mix007.wav,34.9,35.9,1
fold3_room6_mix007.wav,40.4,41.4,1
fold3_room6_mix007.wav,43.4,43.9,1
fold3_room6_mix007.wav,46.9,47.9,1
fold3_room6_mix007.wav,51.4,52.4,1
fold3_room6_mix007.wav,53.9,54.9,1
fold3_room6_mix007.wav,56.4,57.4,1
fold3_room6_mix007.wav,59.9,60.9,1
fold3_room6_mix007.wav,64.9,68.4,1
fold3_room6_mix007.wav,70.9,72.4,1
fold3_room6_mix007.wav,75.4,76.4,1
fold3_room6_mix007.wav,77.9,80.4,1
fold3_room6_mix007.wav,165.9,166.4,1
fold3_room6_mix007.wav,168.4,169.9,1
fold3_room6_mix007.wav,172.4,174.4,1
fold3_room6_mix007.wav,178.4,182.4,1
fold3_room6_mix007.wav,185.4,185.9,1
fold3_room6_mix007.wav,187.9,188.9,1
fold3_room6_mix007.wav,190.9,195.4,1
fold3_room6_mix007.wav,195.9,196.9,1
fold3_room6_mix007.wav,198.9,199.9,1
fold3_room6_mix007.wav,202.4,206.4,1
fold3_room6_mix007.wav,208.4,209.4,1
fold3_room6_mix007.wav,53.9,133.4,5
fold3_room6_mix007.wav,98.4,158.9,8
fold3_room7_mix001.wav,4.4,4.9,1
fold3_room7_mix001.wav,5.4,9.4,1
fold3_room7_mix001.wav,9.9,46.4,1
fold3_room7_mix001.wav,47.4,64.9,1
fold3_room7_mix001.wav,65.4,77.4,1
fold3_room7_mix001.wav,78.4,80.4,1
fold3_room7_mix001.wav,80.9,81.9,1
fold3_room7_mix001.wav,82.9,92.9,1
fold3_room7_mix001.wav,99.4,101.4,1
fold3_room7_mix001.wav,101.9,103.9,1
fold3_room7_mix001.wav,105.9,107.9,1
fold3_room7_mix001.wav,108.9,109.4,1
fold3_room7_mix001.wav,111.4,119.9,1
fold3_room7_mix001.wav,120.4,121.4,1
fold3_room7_mix001.wav,124.9,139.9,1
fold3_room7_mix001.wav,92.9,94.4,3
fold3_room7_mix001.wav,97.4,98.9,3
fold3_room7_mix001.wav,64.9,65.4,4
fold3_room7_mix001.wav,81.4,83.4,4
fold3_room7_mix001.wav,137.4,142.4,6
fold3_room7_mix001.wav,142.4,146.9,7
fold3_room7_mix002.wav,3.4,4.4,1
fold3_room7_mix002.wav,5.4,10.9,1
fold3_room7_mix002.wav,11.4,14.4,1
fold3_room7_mix002.wav,14.9,30.9,1
fold3_room7_mix002.wav,31.4,35.4,1
fold3_room7_mix002.wav,36.4,45.4,1
fold3_room7_mix002.wav,46.9,50.4,1
fold3_room7_mix002.wav,50.9,58.4,1
fold3_room7_mix002.wav,58.9,66.4,1
fold3_room7_mix002.wav,66.9,93.4,1
fold3_room7_mix002.wav,93.9,102.4,1
fold3_room7_mix002.wav,103.9,105.4,1
fold3_room7_mix002.wav,106.4,108.9,1
fold3_room7_mix002.wav,109.4,120.9,1
fold3_room7_mix002.wav,121.4,148.4,1
fold3_room7_mix002.wav,149.4,169.9,1
fold3_room7_mix002.wav,170.9,184.4,1
fold3_room7_mix002.wav,190.9,192.9,1
fold3_room7_mix002.wav,196.4,197.4,1
fold3_room7_mix002.wav,198.9,202.9,1
fold3_room7_mix002.wav,204.4,208.9,1
fold3_room7_mix002.wav,209.9,288.4,1
fold3_room7_mix002.wav,291.9,311.4,1
fold3_room7_mix002.wav,189.9,190.9,3
fold3_room7_mix002.wav,193.9,195.4,3
fold3_room7_mix002.wav,21.9,22.9,4
fold3_room7_mix002.wav,102.4,104.4,4
fold3_room7_mix002.wav,150.4,152.4,4
fold3_room7_mix002.wav,183.4,185.4,4
fold3_room7_mix002.wav,311.9,316.4,6
fold3_room7_mix002.wav,315.9,321.4,7
fold3_room7_mix003.wav,2.9,9.4,1
fold3_room7_mix003.wav,9.9,11.9,1
fold3_room7_mix003.wav,12.4,13.4,1
fold3_room7_mix003.wav,14.4,15.4,1
fold3_room7_mix003.wav,16.4,17.9,1
fold3_room7_mix003.wav,19.4,24.4,1
fold3_room7_mix003.wav,25.9,28.9,1
fold3_room7_mix003.wav,32.9,34.9,1
fold3_room7_mix003.wav,36.4,51.9,1
fold3_room7_mix003.wav,52.9,53.4,1
fold3_room7_mix003.wav,55.9,65.9,1
fold3_room7_mix003.wav,67.9,71.4,1
fold3_room7_mix003.wav,72.4,81.4,1
fold3_room7_mix003.wav,82.4,114.9,1
fold3_room7_mix003.wav,115.4,120.4,1
fold3_room7_mix003.wav,121.4,136.9,1
fold3_room7_mix003.wav,137.4,139.9,1
fold3_room7_mix003.wav,140.4,160.9,1
fold3_room7_mix003.wav,161.9,167.9,1
fold3_room7_mix003.wav,168.4,170.9,1
fold3_room7_mix003.wav,171.9,174.4,1
fold3_room7_mix003.wav,174.9,185.9,1
fold3_room7_mix003.wav,186.4,196.4,1
fold3_room7_mix003.wav,197.9,204.9,1
fold3_room7_mix003.wav,205.4,214.4,1
fold3_room7_mix003.wav,102.9,103.9,4
fold3_room7_mix003.wav,57.4,58.9,6
fold3_room7_mix003.wav,77.9,78.9,6
fold3_room7_mix003.wav,13.4,207.9,8
fold3_room7_mix004.wav,7.9,18.4,0
fold3_room7_mix004.wav,18.9,25.9,0
fold3_room7_mix004.wav,26.9,41.4,0
fold3_room7_mix004.wav,41.9,49.9,0
fold3_room7_mix004.wav,50.9,84.4,0
fold3_room7_mix004.wav,85.9,123.4,0
fold3_room7_mix004.wav,124.9,132.4,0
fold3_room7_mix004.wav,132.9,143.9,0
fold3_room7_mix004.wav,146.4,147.4,0
fold3_room7_mix004.wav,147.9,149.9,0
fold3_room7_mix004.wav,150.4,184.4,0
