source,file,abs_audio_path,onset,offset,class,left_extend_to,right_extend_to,event_duration,left_space,right_space,window_sec,segment_sec
sony,fold3_room21_mix013.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix013.wav,25.4,26.8,4,0.0,65.0,1.4,25.4,38.2,20.0,4.0
sony,fold3_room21_mix014.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix014.wav,39.2,39.7,4,0.0,62.999999,0.5,39.2,23.299999,20.0,4.0
sony,fold3_room21_mix015.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix015.wav,79.4,79.8,4,0.0,113.7,0.4,79.4,33.9,20.0,4.0
sony,fold3_room21_mix018.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix018.wav,56.1,57.2,4,0.0,130.0,1.1,56.1,72.8,20.0,4.0
sony,fold3_room21_mix025.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix025.wav,204.1,205.2,4,174.400001,223.599999,1.1,29.699999,18.399999,20.0,4.0
sony,fold3_room21_mix029.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix029.wav,121.8,122.6,4,56.000001,151.799999,0.8,65.799999,29.199999,20.0,4.0
sony,fold3_room22_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix005.wav,90.8,92.4,4,6.400001,117.199999,1.6,84.399999,24.799999,20.0,4.0
sony,fold3_room22_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix006.wav,22.9,23.4,4,0.0,60.0,0.5,22.9,36.6,20.0,4.0
sony,fold3_room22_mix010.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix010.wav,59.8,60.2,4,40.600001,80.799999,0.4,19.199999,20.599999,20.0,4.0
tau,fold3_room4_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix004.wav,132.2,132.8,4,0.0,159.736,0.6,132.2,26.936,20.0,4.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,63.9,65.4,4,0.0,133.899999,1.5,63.9,68.499999,20.0,4.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,133.9,134.4,4,65.400001,180.899999,0.5,68.499999,46.499999,20.0,4.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,180.9,181.9,4,134.400001,224.269,1.0,46.499999,42.369,20.0,4.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,36.9,37.9,4,0.0,95.399999,1.0,36.9,57.499999,20.0,4.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,95.4,96.4,4,37.900001,219.811,1.0,57.499999,123.411,20.0,4.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,125.4,126.4,4,0.0,191.899999,1.0,125.4,65.499999,20.0,4.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,191.9,193.9,4,126.400001,247.399999,2.0,65.499999,53.499999,20.0,4.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,37.4,38.4,4,0.0,89.899999,1.0,37.4,51.499999,20.0,4.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,89.9,91.4,4,38.400001,321.933,1.5,51.499999,230.533,20.0,4.0
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,156.9,157.9,4,0.0,273.997,1.0,156.9,116.097,20.0,4.0
tau,fold3_room7_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix002.wav,21.9,22.9,4,0.0,102.399999,1.0,21.9,79.499999,20.0,4.0
tau,fold3_room7_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix002.wav,102.4,104.4,4,22.900001,150.399999,2.0,79.499999,45.999999,20.0,4.0
tau,fold3_room7_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix002.wav,150.4,152.4,4,104.400001,183.399999,2.0,45.999999,30.999999,20.0,4.0
tau,fold3_room7_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix002.wav,183.4,185.4,4,152.400001,325.432,2.0,30.999999,140.032,20.0,4.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,102.9,103.9,4,0.0,218.36,1.0,102.9,114.46,20.0,4.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,25.9,26.9,4,0.0,49.899999,1.0,25.9,22.999999,20.0,4.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,49.9,50.9,4,26.900001,84.399999,1.0,22.999999,33.499999,20.0,4.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,84.4,85.9,4,50.900001,143.899999,1.5,33.499999,57.999999,20.0,4.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,143.9,146.4,4,85.900001,181.899999,2.5,57.999999,35.499999,20.0,4.0
tau,fold3_room7_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix005.wav,97.4,99.4,4,0.0,119.399999,2.0,97.4,19.999999,20.0,4.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,70.9,71.4,4,0.0,106.399999,0.5,70.9,34.999999,20.0,4.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,106.4,108.4,4,71.400001,157.899999,2.0,34.999999,49.499999,20.0,4.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,207.9,209.4,4,164.400001,240.399999,1.5,43.499999,30.999999,20.0,4.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,240.4,241.4,4,209.400001,276.399999,1.0,30.999999,34.999999,20.0,4.0
tau,fold3_room9_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix008.wav,95.4,96.4,4,0.0,213.88,1.0,95.4,117.48,20.0,4.0
sony,fold3_room21_mix027.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix027.wav,18.1,19.1,6,0.0,111.3,1.0,18.1,92.2,20.0,4.0
sony,fold3_room22_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix005.wav,75.2,77.0,6,0.0,133.5,1.8,75.2,56.5,20.0,4.0
tau,fold3_room4_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix001.wav,41.4,42.4,6,18.400001,121.899999,1.0,22.999999,79.499999,20.0,4.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,237.9,238.9,6,0.0,257.899999,1.0,237.9,18.999999,20.0,4.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,257.9,259.9,6,238.900001,307.899999,2.0,18.999999,47.999999,20.0,4.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,57.4,58.9,6,0.0,77.899999,1.5,57.4,18.999999,20.0,4.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,77.9,78.9,6,58.900001,218.36,1.0,18.999999,139.46,20.0,4.0
tau,fold3_room9_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix005.wav,33.9,36.9,6,0.0,56.399999,3.0,33.9,19.499999,20.0,4.0
tau,fold3_room9_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix005.wav,56.4,58.4,6,36.900001,229.837,2.0,19.499999,171.437,20.0,4.0
tau,fold3_room9_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix006.wav,76.9,78.9,6,0.0,141.899999,2.0,76.9,62.999999,20.0,4.0
tau,fold3_room4_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix004.wav,63.0,65.7,7,0.0,159.736,2.7,63.0,94.036,20.0,4.0
tau,fold3_room4_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix005.wav,19.9,20.9,7,0.0,85.899999,1.0,19.9,64.999999,20.0,4.0
tau,fold3_room4_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix005.wav,85.9,87.9,7,20.900001,109.453,2.0,64.999999,21.553,20.0,4.0
tau,fold3_room4_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix008.wav,17.4,18.9,7,0.0,166.392,1.5,17.4,147.492,20.0,4.0
