source,file,abs_audio_path,onset,offset,class,left_extend_to,right_extend_to,event_duration,left_space,right_space,window_sec,segment_sec
sony,fold3_room21_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix008.wav,145.3,145.9,4,120.300001,155.5,0.6,24.999999,9.6,10.0,2.0
sony,fold3_room21_mix012.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix012.wav,50.7,52.0,4,36.500001,62.799999,1.3,14.199999,10.799999,10.0,2.0
sony,fold3_room21_mix012.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix012.wav,62.8,64.6,4,52.000001,73.299999,1.8,10.799999,8.699999,10.0,2.0
sony,fold3_room21_mix012.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix012.wav,120.5,122.3,4,87.700001,132.199999,1.8,32.799999,9.899999,10.0,2.0
sony,fold3_room21_mix013.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix013.wav,25.4,26.8,4,0.0,65.0,1.4,25.4,38.2,10.0,2.0
sony,fold3_room21_mix014.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix014.wav,39.2,39.7,4,0.0,62.999999,0.5,39.2,23.299999,10.0,2.0
sony,fold3_room21_mix015.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix015.wav,79.4,79.8,4,0.0,113.7,0.4,79.4,33.9,10.0,2.0
sony,fold3_room21_mix018.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix018.wav,56.1,57.2,4,0.0,130.0,1.1,56.1,72.8,10.0,2.0
sony,fold3_room21_mix022.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix022.wav,19.9,20.3,4,0.0,32.399999,0.4,19.9,12.099999,10.0,2.0
sony,fold3_room21_mix022.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix022.wav,43.4,43.9,4,34.000001,136.499999,0.5,9.399999,92.599999,10.0,2.0
sony,fold3_room21_mix025.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix025.wav,204.1,205.2,4,174.400001,223.599999,1.1,29.699999,18.399999,10.0,2.0
sony,fold3_room21_mix025.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix025.wav,223.6,224.3,4,205.200001,234.099999,0.7,18.399999,9.799999,10.0,2.0
sony,fold3_room21_mix026.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix026.wav,117.9,119.1,4,90.100001,134.499999,1.2,27.799999,15.399999,10.0,2.0
sony,fold3_room21_mix026.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix026.wav,134.5,135.1,4,119.100001,242.399999,0.6,15.399999,107.299999,10.0,2.0
sony,fold3_room21_mix026.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix026.wav,242.4,243.7,4,135.100001,253.499999,1.3,107.299999,9.799999,10.0,2.0
sony,fold3_room21_mix029.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix029.wav,12.6,13.6,4,0.0,29.399999,1.0,12.6,15.799999,10.0,2.0
sony,fold3_room21_mix029.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix029.wav,29.4,30.4,4,13.600001,46.199999,1.0,15.799999,15.799999,10.0,2.0
sony,fold3_room21_mix029.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix029.wav,121.8,122.6,4,56.000001,151.799999,0.8,65.799999,29.199999,10.0,2.0
sony,fold3_room21_mix029.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix029.wav,192.2,193.1,4,177.500001,206.1,0.9,14.699999,13.0,10.0,2.0
sony,fold3_room22_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix004.wav,26.1,26.9,4,0.0,35.399999,0.8,26.1,8.499999,10.0,2.0
sony,fold3_room22_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix004.wav,79.0,80.0,4,53.800001,89.799999,1.0,25.199999,9.799999,10.0,2.0
sony,fold3_room22_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix004.wav,89.8,91.5,4,80.000001,104.8,1.7,9.799999,13.3,10.0,2.0
sony,fold3_room22_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix005.wav,90.8,92.4,4,6.400001,117.199999,1.6,84.399999,24.799999,10.0,2.0
sony,fold3_room22_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix006.wav,22.9,23.4,4,0.0,60.0,0.5,22.9,36.6,10.0,2.0
sony,fold3_room22_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix008.wav,48.9,49.7,4,0.0,59.699999,0.8,48.9,9.999999,10.0,2.0
sony,fold3_room22_mix010.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix010.wav,59.8,60.2,4,40.600001,80.799999,0.4,19.199999,20.599999,10.0,2.0
sony,fold3_room22_mix010.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix010.wav,182.3,183.2,4,168.500001,197.299999,0.9,13.799999,14.099999,10.0,2.0
sony,fold3_room22_mix011.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix011.wav,107.9,108.2,4,93.400001,138.599999,0.3,14.499999,30.399999,10.0,2.0
sony,fold3_room22_mix011.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix011.wav,164.6,165.2,4,155.400001,185.0,0.6,9.199999,19.8,10.0,2.0
tau,fold3_room4_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix004.wav,132.2,132.8,4,0.0,159.736,0.6,132.2,26.936,10.0,2.0
tau,fold3_room4_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix006.wav,79.4,79.9,4,0.0,92.399999,0.5,79.4,12.499999,10.0,2.0
tau,fold3_room4_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix006.wav,92.4,93.4,4,79.900001,181.795,1.0,12.499999,88.395,10.0,2.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,63.9,65.4,4,0.0,133.899999,1.5,63.9,68.499999,10.0,2.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,133.9,134.4,4,65.400001,180.899999,0.5,68.499999,46.499999,10.0,2.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,180.9,181.9,4,134.400001,224.269,1.0,46.499999,42.369,10.0,2.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,36.9,37.9,4,0.0,95.399999,1.0,36.9,57.499999,10.0,2.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,95.4,96.4,4,37.900001,219.811,1.0,57.499999,123.411,10.0,2.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,125.4,126.4,4,0.0,191.899999,1.0,125.4,65.499999,10.0,2.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,247.4,248.4,4,193.900001,257.784,1.0,53.499999,9.384,10.0,2.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,37.4,38.4,4,0.0,89.899999,1.0,37.4,51.499999,10.0,2.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,89.9,91.4,4,38.400001,321.933,1.5,51.499999,230.533,10.0,2.0
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,156.9,157.9,4,0.0,273.997,1.0,156.9,116.097,10.0,2.0
tau,fold3_room7_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix001.wav,64.9,65.4,4,0.0,81.399999,0.5,64.9,15.999999,10.0,2.0
tau,fold3_room7_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix002.wav,21.9,22.9,4,0.0,102.399999,1.0,21.9,79.499999,10.0,2.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,102.9,103.9,4,0.0,218.36,1.0,102.9,114.46,10.0,2.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,25.9,26.9,4,0.0,49.899999,1.0,25.9,22.999999,10.0,2.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,49.9,50.9,4,26.900001,84.399999,1.0,22.999999,33.499999,10.0,2.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,84.4,85.9,4,50.900001,143.899999,1.5,33.499999,57.999999,10.0,2.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,233.4,234.9,4,191.400001,245.399999,1.5,41.999999,10.499999,10.0,2.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,245.4,245.9,4,234.900001,258.899999,0.5,10.499999,12.999999,10.0,2.0
tau,fold3_room7_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix005.wav,199.4,200.4,4,183.400001,260.429,1.0,15.999999,60.029,10.0,2.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,70.9,71.4,4,0.0,106.399999,0.5,70.9,34.999999,10.0,2.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,207.9,209.4,4,164.400001,240.399999,1.5,43.499999,30.999999,10.0,2.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,240.4,241.4,4,209.400001,276.399999,1.0,30.999999,34.999999,10.0,2.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,276.4,277.4,4,241.400001,288.899999,1.0,34.999999,11.499999,10.0,2.0
tau,fold3_room9_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix008.wav,95.4,96.4,4,0.0,213.88,1.0,95.4,117.48,10.0,2.0
sony,fold3_room21_mix027.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix027.wav,18.1,19.1,6,0.0,111.3,1.0,18.1,92.2,10.0,2.0
sony,fold3_room22_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix001.wav,45.2,46.4,6,29.200001,75.0,1.2,15.999999,28.6,10.0,2.0
sony,fold3_room22_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix005.wav,75.2,77.0,6,0.0,133.5,1.8,75.2,56.5,10.0,2.0
tau,fold3_room4_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix001.wav,41.4,42.4,6,18.400001,121.899999,1.0,22.999999,79.499999,10.0,2.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,237.9,238.9,6,0.0,257.899999,1.0,237.9,18.999999,10.0,2.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,57.4,58.9,6,0.0,77.899999,1.5,57.4,18.999999,10.0,2.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,77.9,78.9,6,58.900001,218.36,1.0,18.999999,139.46,10.0,2.0
tau,fold3_room4_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix001.wav,119.4,120.4,7,25.900001,129.08,1.0,93.499999,8.68,10.0,2.0
tau,fold3_room4_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix005.wav,19.9,20.9,7,0.0,85.899999,1.0,19.9,64.999999,10.0,2.0
tau,fold3_room4_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix008.wav,17.4,18.9,7,0.0,166.392,1.5,17.4,147.492,10.0,2.0
sony,fold3_room21_mix009.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix009.wav,99.8,101.4,11,84.000001,110.2,1.6,15.799999,8.8,10.0,2.0
sony,fold3_room21_mix020.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix020.wav,15.2,15.6,12,0.0,127.6,0.4,15.2,112.0,10.0,2.0
sony,fold3_room21_mix027.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix027.wav,13.2,14.0,12,0.0,111.3,0.8,13.2,97.3,10.0,2.0
sony,fold3_room21_mix028.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix028.wav,8.2,9.3,12,0.0,100.0,1.1,8.2,90.7,10.0,2.0
sony,fold3_room22_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix007.wav,9.4,10.3,12,0.0,126.1,0.9,9.4,115.8,10.0,2.0
sony,fold3_room22_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix008.wav,14.7,15.2,12,0.0,95.0,0.5,14.7,79.8,10.0,2.0
