source,file,abs_audio_path,onset,offset,class,left_extend_to,right_extend_to,event_duration,left_space,right_space,window_sec,segment_sec
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,89.9,91.4,4,38.400001,321.933,1.5,51.499999,230.533,40.0,8.0
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,156.9,157.9,4,0.0,273.997,1.0,156.9,116.097,40.0,8.0
tau,fold3_room7_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix002.wav,102.4,104.4,4,22.900001,150.399999,2.0,79.499999,45.999999,40.0,8.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,102.9,103.9,4,0.0,218.36,1.0,102.9,114.46,40.0,8.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,84.4,85.9,4,50.900001,143.899999,1.5,33.499999,57.999999,40.0,8.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,143.9,146.4,4,85.900001,181.899999,2.5,57.999999,35.499999,40.0,8.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,70.9,71.4,4,0.0,106.399999,0.5,70.9,34.999999,40.0,8.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,106.4,108.4,4,71.400001,157.899999,2.0,34.999999,49.499999,40.0,8.0
tau,fold3_room9_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix008.wav,95.4,96.4,4,0.0,213.88,1.0,95.4,117.48,40.0,8.0
sony,fold3_room22_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix005.wav,75.2,77.0,6,0.0,133.5,1.8,75.2,56.5,40.0,8.0
tau,fold3_room9_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix001.wav,137.9,142.4,6,0.0,180.749,4.5,137.9,38.349,40.0,8.0
tau,fold3_room9_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix006.wav,76.9,78.9,6,0.0,141.899999,2.0,76.9,62.999999,40.0,8.0
tau,fold3_room4_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix004.wav,63.0,65.7,7,0.0,159.736,2.7,63.0,94.036,40.0,8.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,99.9,104.9,10,0.0,224.269,5.0,99.9,119.369,40.0,8.0
